year,category,winner,entity
1929,DIRECTING,FALSE,Clarence Brown
1929,DIRECTING,FALSE,Robert Leonard
1929,DIRECTING,FALSE,Ernst Lubitsch
1929,DIRECTING,TRUE,Lewis Milestone
1929,DIRECTING,FALSE,King Vidor
1929,OUTSTANDING PRODUCTION,TRUE,All Quiet on the Western Front
1929,OUTSTANDING PRODUCTION,FALSE,The Big House
1929,OUTSTANDING PRODUCTION,FALSE,Disraeli
1929,OUTSTANDING PRODUCTION,FALSE,The Divorcee
1929,OUTSTANDING PRODUCTION,FALSE,The Love Parade
1929,SOUND RECORDING,TRUE,The Big House
1929,SOUND RECORDING,FALSE,The Case of Sergeant Grischa
1929,SOUND RECORDING,FALSE,The Love Parade
1929,SOUND RECORDING,FALSE,Raffles
1929,SOUND RECORDING,FALSE,Song of the Flame
1929,WRITING,FALSE,All Quiet on the Western Front
1929,WRITING,TRUE,The Big House
1929,WRITING,FALSE,Disraeli
1929,WRITING,FALSE,The Divorcee
1929,WRITING,FALSE,Street of Chance
1930,ACTOR,TRUE,Lionel Barrymore
1930,ACTOR,FALSE,Jackie Cooper
1930,ACTOR,FALSE,Richard Dix
1930,ACTOR,FALSE,Fredric March
1930,ACTOR,FALSE,Adolphe Menjou
1930,ACTRESS,FALSE,Marlene Dietrich
1930,ACTRESS,TRUE,Marie Dressler
1930,ACTRESS,FALSE,Irene Dunne
1930,ACTRESS,FALSE,Ann Harding
1930,ACTRESS,FALSE,Norma Shearer
1930,ART DIRECTION,TRUE,Cimarron
1930,ART DIRECTION,FALSE,Just Imagine
1930,ART DIRECTION,FALSE,Morocco
1930,ART DIRECTION,FALSE,Svengali
1930,ART DIRECTION,FALSE,Whoopee!
1930,CINEMATOGRAPHY,FALSE,Cimarron
1930,CINEMATOGRAPHY,FALSE,Morocco
1930,CINEMATOGRAPHY,FALSE,The Right to Love
1930,CINEMATOGRAPHY,FALSE,Svengali
1930,CINEMATOGRAPHY,TRUE,Tabu
1930,DIRECTING,FALSE,Cimarron
1930,DIRECTING,FALSE,A Free Soul
1930,DIRECTING,FALSE,The Front Page
1930,DIRECTING,FALSE,Morocco
1930,DIRECTING,TRUE,Skippy
1930,OUTSTANDING PRODUCTION,TRUE,Cimarron
1930,OUTSTANDING PRODUCTION,FALSE,East Lynne
1930,OUTSTANDING PRODUCTION,FALSE,The Front Page
1930,OUTSTANDING PRODUCTION,FALSE,Skippy
1930,OUTSTANDING PRODUCTION,FALSE,Trader Horn
1930,SOUND RECORDING,FALSE,Samuel Goldwyn - United Artists Studio Sound Department
1930,SOUND RECORDING,FALSE,Metro-Goldwyn-Mayer Studio Sound Department
1930,SOUND RECORDING,TRUE,Paramount Publix Studio Sound Department
1930,SOUND RECORDING,FALSE,RKO Radio Studio Sound Department
1930,WRITING (Adaptation),TRUE,Cimarron
1930,WRITING (Adaptation),FALSE,The Criminal Code
1930,WRITING (Adaptation),FALSE,Holiday
1930,WRITING (Adaptation),FALSE,Little Caesar
1930,WRITING (Adaptation),FALSE,Skippy
1930,WRITING (Original Story),TRUE,The Dawn Patrol
1930,WRITING (Original Story),FALSE,The Doorway to Hell
1930,WRITING (Original Story),FALSE,Laughter
1930,WRITING (Original Story),FALSE,The Public Enemy
1930,WRITING (Original Story),FALSE,Smart Money
1930,SCIENTIFIC OR TECHNICAL AWARD (Class I),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC., RCA-PHOTOPHONE, INC. and RKO RADIO PICTURES, INC., for noise reduction recording equipment."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class I),TRUE,To DuPONT FILM MANUFACTURING CORP. and EASTMAN KODAK COMPANY for super-sensitive panchromatic film.
1930,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To FOX FILM CORP. for effective use of synchro-projection composite photography.
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To RKO RADIO PICTURES, INC. for reflex type microphone concentrators."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To RCA-PHOTOPHONE, INC. for ribbon microphone transmitters."
1931,ACTOR,TRUE,Wallace Beery
1931,ACTOR,FALSE,Alfred Lunt
1931,ACTOR,TRUE,Fredric March
1931,ACTRESS,FALSE,Marie Dressler
1931,ACTRESS,FALSE,Lynn Fontanne
1931,ACTRESS,TRUE,Helen Hayes
1931,ART DIRECTION,FALSE,Ã€ Nous la LibertÃ©
1931,ART DIRECTION,FALSE,Arrowsmith
1931,ART DIRECTION,TRUE,Transatlantic
1931,CINEMATOGRAPHY,FALSE,Arrowsmith
1931,CINEMATOGRAPHY,FALSE,Dr. Jekyll and Mr. Hyde
1931,CINEMATOGRAPHY,TRUE,Shanghai Express
1931,DIRECTING,TRUE,Bad Girl
1931,DIRECTING,FALSE,The Champ
1931,DIRECTING,FALSE,Shanghai Express
1931,OUTSTANDING PRODUCTION,FALSE,Arrowsmith
1931,OUTSTANDING PRODUCTION,FALSE,Bad Girl
1931,OUTSTANDING PRODUCTION,FALSE,The Champ
1931,OUTSTANDING PRODUCTION,FALSE,Five Star Final
1931,OUTSTANDING PRODUCTION,TRUE,Grand Hotel
1931,OUTSTANDING PRODUCTION,FALSE,One Hour with You
1931,OUTSTANDING PRODUCTION,FALSE,Shanghai Express
1931,OUTSTANDING PRODUCTION,FALSE,The Smiling Lieutenant
1931,SHORT SUBJECT (Cartoon),TRUE,Flowers and Trees
1931,SHORT SUBJECT (Cartoon),FALSE,It's Got Me Again
1931,SHORT SUBJECT (Cartoon),FALSE,Mickey's Orphans
1931,SHORT SUBJECT (Comedy),FALSE,The Loud Mouth
1931,SHORT SUBJECT (Comedy),TRUE,The Music Box
1931,SHORT SUBJECT (Comedy),FALSE,Scratch-As-Catch-Can
1931,SHORT SUBJECT (Comedy),FALSE,Stout Hearts and Willing Hands
1931,SHORT SUBJECT (Novelty),FALSE,Screen Souvenirs
1931,SHORT SUBJECT (Novelty),FALSE,Swing High
1931,SHORT SUBJECT (Novelty),TRUE,Wrestling Swordfish
1931,SOUND RECORDING,FALSE,Metro-Goldwyn-Mayer Studio Sound Department
1931,SOUND RECORDING,TRUE,Paramount Publix Studio Sound Department
1931,SOUND RECORDING,FALSE,RKO Radio Studio Sound Department
1931,SOUND RECORDING,FALSE,Warner Bros.-First National Studio Sound Department
1931,WRITING (Adaptation),FALSE,Arrowsmith
1931,WRITING (Adaptation),TRUE,Bad Girl
1931,WRITING (Adaptation),FALSE,Dr. Jekyll and Mr. Hyde
1931,WRITING (Original Story),TRUE,The Champ
1931,WRITING (Original Story),FALSE,Lady and Gent
1931,WRITING (Original Story),FALSE,The Star Witness
1931,WRITING (Original Story),FALSE,What Price Hollywood?
1931,SPECIAL AWARD,TRUE,"To Walt Disney for the creation of ""Mickey Mouse."""
1931,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process.
1931,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To EASTMAN KODAK COMPANY for its Type II-B Sensitometer.
1932,ACTOR,FALSE,Leslie Howard
1932,ACTOR,TRUE,Charles Laughton
1932,ACTOR,FALSE,Paul Muni
1932,ACTRESS,TRUE,Katharine Hepburn
1932,ACTRESS,FALSE,May Robson
1932,ACTRESS,FALSE,Diana Wynyard
1932,ART DIRECTION,TRUE,Cavalcade
1932,ART DIRECTION,FALSE,A Farewell to Arms
1932,ART DIRECTION,FALSE,When Ladies Meet
1932,ASSISTANT DIRECTOR,FALSE,Percy Ikerd (Fox)
1932,ASSISTANT DIRECTOR,TRUE,William Tummel (Fox)
1932,ASSISTANT DIRECTOR,TRUE,Charles Dorian (Metro-Goldwyn-Mayer)
1932,ASSISTANT DIRECTOR,FALSE,Bunny Dull (Metro-Goldwyn-Mayer)
1932,ASSISTANT DIRECTOR,FALSE,John S. Waters (Metro-Goldwyn-Mayer)
1932,ASSISTANT DIRECTOR,TRUE,Charles Barton (Paramount)
1932,ASSISTANT DIRECTOR,FALSE,Sidney S. Brod (Paramount)
1932,ASSISTANT DIRECTOR,FALSE,Arthur Jacobson (Paramount)
1932,ASSISTANT DIRECTOR,FALSE,Eddie Killey (RKO Radio)
1932,ASSISTANT DIRECTOR,TRUE,Dewey Starkey (RKO Radio)
1932,ASSISTANT DIRECTOR,TRUE,Fred Fox (United Artists)
1932,ASSISTANT DIRECTOR,FALSE,Benjamin Silvey (United Artists)
1932,ASSISTANT DIRECTOR,TRUE,Scott Beal (Universal)
1932,ASSISTANT DIRECTOR,FALSE,Joe McDonough (Universal)
1932,ASSISTANT DIRECTOR,FALSE,W. J. Reiter (Universal)
1932,ASSISTANT DIRECTOR,FALSE,Al Alborn (Warner Bros.)
1932,ASSISTANT DIRECTOR,TRUE,Gordon Hollingshead (Warner Bros.)
1932,ASSISTANT DIRECTOR,FALSE,Frank X. Shaw (Warner Bros.)
1932,CINEMATOGRAPHY,TRUE,A Farewell to Arms
1932,CINEMATOGRAPHY,FALSE,Reunion in Vienna
1932,CINEMATOGRAPHY,FALSE,The Sign of the Cross
1932,DIRECTING,TRUE,Cavalcade
1932,DIRECTING,FALSE,Lady for a Day
1932,DIRECTING,FALSE,Little Women
1932,OUTSTANDING PRODUCTION,TRUE,Cavalcade
1932,OUTSTANDING PRODUCTION,FALSE,A Farewell to Arms
1932,OUTSTANDING PRODUCTION,FALSE,42nd Street
1932,OUTSTANDING PRODUCTION,FALSE,I Am a Fugitive from a Chain Gang
1932,OUTSTANDING PRODUCTION,FALSE,Lady for a Day
1932,OUTSTANDING PRODUCTION,FALSE,Little Women
1932,OUTSTANDING PRODUCTION,FALSE,The Private Life of Henry VIII
1932,OUTSTANDING PRODUCTION,FALSE,She Done Him Wrong
1932,OUTSTANDING PRODUCTION,FALSE,Smilin' Through
1932,OUTSTANDING PRODUCTION,FALSE,State Fair
1932,SHORT SUBJECT (Cartoon),FALSE,Building a Building
1932,SHORT SUBJECT (Cartoon),FALSE,The Merry Old Soul
1932,SHORT SUBJECT (Cartoon),TRUE,The Three Little Pigs
1932,SHORT SUBJECT (Comedy),FALSE,Mister Mugg
1932,SHORT SUBJECT (Comedy),FALSE,A Preferred List
1932,SHORT SUBJECT (Comedy),TRUE,So This Is Harris
1932,SHORT SUBJECT (Novelty),TRUE,Krakatoa
1932,SHORT SUBJECT (Novelty),FALSE,Menu
1932,SHORT SUBJECT (Novelty),FALSE,The Sea
1932,SOUND RECORDING,TRUE,A Farewell to Arms
1932,SOUND RECORDING,FALSE,42nd Street
1932,SOUND RECORDING,FALSE,Gold Diggers of 1933
1932,SOUND RECORDING,FALSE,I Am a Fugitive from a Chain Gang
1932,WRITING (Adaptation),FALSE,Lady for a Day
1932,WRITING (Adaptation),TRUE,Little Women
1932,WRITING (Adaptation),FALSE,State Fair
1932,WRITING (Original Story),TRUE,One Way Passage
1932,WRITING (Original Story),FALSE,The Prizefighter and the Lady
1932,WRITING (Original Story),FALSE,Rasputin and the Empress
1932,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their wide range recording and reporducing system."
1932,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,"To RCA-VICTOR COMPANY, INC. for their high-fidelity recording and reproducing system."
1932,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To FOX FILM CORPORATION, FRED JACKMAN and WARNER BROS. PICTURES, INC., and SIDNEY SANDERS of RKO Studios, Inc., for their development and effective use of the translucent cellulose screen in composite photography."
1934,ACTOR,TRUE,Clark Gable
1934,ACTOR,FALSE,Frank Morgan
1934,ACTOR,FALSE,William Powell
1934,ACTRESS,TRUE,Claudette Colbert
1934,ACTRESS,FALSE,Bette Davis
1934,ACTRESS,FALSE,Grace Moore
1934,ACTRESS,FALSE,Norma Shearer
1934,ART DIRECTION,FALSE,The Affairs of Cellini
1934,ART DIRECTION,FALSE,The Gay Divorcee
1934,ART DIRECTION,TRUE,The Merry Widow
1934,ASSISTANT DIRECTOR,FALSE,Cleopatra
1934,ASSISTANT DIRECTOR,FALSE,Imitation of Life
1934,ASSISTANT DIRECTOR,TRUE,Viva Villa!
1934,CINEMATOGRAPHY,FALSE,The Affairs of Cellini
1934,CINEMATOGRAPHY,TRUE,Cleopatra
1934,CINEMATOGRAPHY,FALSE,Operator 13
1934,DIRECTING,TRUE,It Happened One Night
1934,DIRECTING,FALSE,One Night of Love
1934,DIRECTING,FALSE,The Thin Man
1934,FILM EDITING,FALSE,Cleopatra
1934,FILM EDITING,TRUE,Eskimo
1934,FILM EDITING,FALSE,One Night of Love
1934,MUSIC (Scoring),FALSE,The Gay Divorcee
1934,MUSIC (Scoring),FALSE,The Lost Patrol
1934,MUSIC (Scoring),TRUE,One Night of Love
1934,MUSIC (Song),FALSE,Flying Down to Rio
1934,MUSIC (Song),TRUE,The Gay Divorcee
1934,MUSIC (Song),FALSE,She Loves Me Not
1934,OUTSTANDING PRODUCTION,FALSE,The Barretts of Wimpole Street
1934,OUTSTANDING PRODUCTION,FALSE,Cleopatra
1934,OUTSTANDING PRODUCTION,FALSE,Flirtation Walk
1934,OUTSTANDING PRODUCTION,FALSE,The Gay Divorcee
1934,OUTSTANDING PRODUCTION,FALSE,Here Comes the Navy
1934,OUTSTANDING PRODUCTION,FALSE,The House of Rothschild
1934,OUTSTANDING PRODUCTION,FALSE,Imitation of Life
1934,OUTSTANDING PRODUCTION,TRUE,It Happened One Night
1934,OUTSTANDING PRODUCTION,FALSE,One Night of Love
1934,OUTSTANDING PRODUCTION,FALSE,The Thin Man
1934,OUTSTANDING PRODUCTION,FALSE,Viva Villa!
1934,OUTSTANDING PRODUCTION,FALSE,The White Parade
1934,SHORT SUBJECT (Cartoon),FALSE,Holiday Land
1934,SHORT SUBJECT (Cartoon),FALSE,Jolly Little Elves
1934,SHORT SUBJECT (Cartoon),TRUE,The Tortoise and the Hare
1934,SHORT SUBJECT (Comedy),TRUE,La Cucaracha
1934,SHORT SUBJECT (Comedy),FALSE,Men in Black
1934,SHORT SUBJECT (Comedy),FALSE,"What, No Men!"
1934,SHORT SUBJECT (Novelty),FALSE,Bosom Friends
1934,SHORT SUBJECT (Novelty),TRUE,City of Wax
1934,SHORT SUBJECT (Novelty),FALSE,Strikes and Spares
1934,SOUND RECORDING,FALSE,The Affairs of Cellini
1934,SOUND RECORDING,FALSE,Cleopatra
1934,SOUND RECORDING,FALSE,Flirtation Walk
1934,SOUND RECORDING,FALSE,The Gay Divorcee
1934,SOUND RECORDING,FALSE,Imitation of Life
1934,SOUND RECORDING,TRUE,One Night of Love
1934,SOUND RECORDING,FALSE,Viva Villa!
1934,SOUND RECORDING,FALSE,The White Parade
1934,WRITING (Adaptation),TRUE,It Happened One Night
1934,WRITING (Adaptation),FALSE,The Thin Man
1934,WRITING (Adaptation),FALSE,Viva Villa!
1934,WRITING (Original Story),FALSE,Hide-Out
1934,WRITING (Original Story),TRUE,Manhattan Melodrama
1934,WRITING (Original Story),FALSE,The Richest Girl in the World
1934,SPECIAL AWARD,TRUE,"To Shirley Temple, in grateful recognition of her outstanding contribution to screen entertainment during the year 1934."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their development of the Vertical Cut Disc Method of recording sound for motion pictures (hill and dale recording)."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To COLUMBIA PICTURES CORPORATION for their application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production, with their recording of the sound on the picture One Night of Love ."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To BELL AND HOWELL COMPANY for their development of the Bell and Howell Fully Automatic Sound and Picture Printer.
1935,ACTOR,FALSE,Clark Gable
1935,ACTOR,FALSE,Charles Laughton
1935,ACTOR,TRUE,Victor McLaglen
1935,ACTOR,FALSE,Paul Muni
1935,ACTOR,FALSE,Franchot Tone
1935,ACTRESS,FALSE,Elisabeth Bergner
1935,ACTRESS,FALSE,Claudette Colbert
1935,ACTRESS,TRUE,Bette Davis
1935,ACTRESS,FALSE,Katharine Hepburn
1935,ACTRESS,FALSE,Miriam Hopkins
1935,ACTRESS,FALSE,Merle Oberon
1935,ART DIRECTION,TRUE,The Dark Angel
1935,ART DIRECTION,FALSE,The Lives of a Bengal Lancer
1935,ART DIRECTION,FALSE,Top Hat
1935,ASSISTANT DIRECTOR,FALSE,David Copperfield
1935,ASSISTANT DIRECTOR,FALSE,Les Miserables
1935,ASSISTANT DIRECTOR,TRUE,The Lives of a Bengal Lancer
1935,ASSISTANT DIRECTOR,FALSE,A Midsummer Night's Dream
1935,CINEMATOGRAPHY,FALSE,Barbary Coast
1935,CINEMATOGRAPHY,FALSE,The Crusades
1935,CINEMATOGRAPHY,FALSE,Les Miserables
1935,CINEMATOGRAPHY,TRUE,A Midsummer Night's Dream
1935,DANCE DIRECTION,FALSE,Busby Berkeley
1935,DANCE DIRECTION,FALSE,Bobby Connolly
1935,DANCE DIRECTION,TRUE,Dave Gould
1935,DANCE DIRECTION,FALSE,Sammy Lee
1935,DANCE DIRECTION,FALSE,Hermes Pan
1935,DANCE DIRECTION,FALSE,LeRoy Prinz
1935,DANCE DIRECTION,FALSE,Benjamin Zemach
1935,DIRECTING,FALSE,Captain Blood
1935,DIRECTING,TRUE,The Informer
1935,DIRECTING,FALSE,The Lives of a Bengal Lancer
1935,DIRECTING,FALSE,Mutiny on the Bounty
1935,FILM EDITING,FALSE,David Copperfield
1935,FILM EDITING,FALSE,The Informer
1935,FILM EDITING,FALSE,Les Miserables
1935,FILM EDITING,FALSE,The Lives of a Bengal Lancer
1935,FILM EDITING,TRUE,A Midsummer Night's Dream
1935,FILM EDITING,FALSE,Mutiny on the Bounty
1935,MUSIC (Scoring),FALSE,Captain Blood
1935,MUSIC (Scoring),TRUE,The Informer
1935,MUSIC (Scoring),FALSE,Mutiny on the Bounty
1935,MUSIC (Scoring),FALSE,Peter Ibbetson
1935,MUSIC (Song),FALSE,Top Hat
1935,MUSIC (Song),FALSE,Roberta
1935,MUSIC (Song),TRUE,Gold Diggers of 1935
1935,OUTSTANDING PRODUCTION,FALSE,Alice Adams
1935,OUTSTANDING PRODUCTION,FALSE,Broadway Melody of 1936
1935,OUTSTANDING PRODUCTION,FALSE,Captain Blood
1935,OUTSTANDING PRODUCTION,FALSE,David Copperfield
1935,OUTSTANDING PRODUCTION,FALSE,The Informer
1935,OUTSTANDING PRODUCTION,FALSE,Les Miserables
1935,OUTSTANDING PRODUCTION,FALSE,The Lives of a Bengal Lancer
1935,OUTSTANDING PRODUCTION,FALSE,A Midsummer Night's Dream
1935,OUTSTANDING PRODUCTION,TRUE,Mutiny on the Bounty
1935,OUTSTANDING PRODUCTION,FALSE,Naughty Marietta
1935,OUTSTANDING PRODUCTION,FALSE,Ruggles of Red Gap
1935,OUTSTANDING PRODUCTION,FALSE,Top Hat
1935,SHORT SUBJECT (Cartoon),FALSE,The Calico Dragon
1935,SHORT SUBJECT (Cartoon),TRUE,Three Orphan Kittens
1935,SHORT SUBJECT (Cartoon),FALSE,Who Killed Cock Robin?
1935,SHORT SUBJECT (Comedy),TRUE,How to Sleep
1935,SHORT SUBJECT (Comedy),FALSE,"Oh, My Nerves"
1935,SHORT SUBJECT (Comedy),FALSE,Tit for Tat
1935,SHORT SUBJECT (Novelty),FALSE,Audioscopiks
1935,SHORT SUBJECT (Novelty),FALSE,Camera Thrills
1935,SHORT SUBJECT (Novelty),TRUE,Wings over Mt. Everest
1935,SOUND RECORDING,FALSE,Bride of Frankenstein
1935,SOUND RECORDING,FALSE,Captain Blood
1935,SOUND RECORDING,FALSE,The Dark Angel
1935,SOUND RECORDING,FALSE,I Dream Too Much
1935,SOUND RECORDING,FALSE,The Lives of a Bengal Lancer
1935,SOUND RECORDING,FALSE,Love Me Forever
1935,SOUND RECORDING,TRUE,Naughty Marietta
1935,SOUND RECORDING,FALSE,"$1,000 a Minute"
1935,SOUND RECORDING,FALSE,Thanks a Million
1935,WRITING (Original Story),FALSE,Broadway Melody of 1936
1935,WRITING (Original Story),FALSE,G-Men
1935,WRITING (Original Story),FALSE,The Gay Deception
1935,WRITING (Original Story),TRUE,The Scoundrel
1935,WRITING (Screenplay),FALSE,Captain Blood
1935,WRITING (Screenplay),TRUE,The Informer
1935,WRITING (Screenplay),FALSE,The Lives of a Bengal Lancer
1935,WRITING (Screenplay),FALSE,Mutiny on the Bounty
1935,SPECIAL AWARD,TRUE,"To David Wark Griffith, for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To EASTMAN KODAK COMPANY for their development of the Eastman Pola-Screen.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To METRO-GOLDWYN-MAYER STUDIO for the development of anti-directional negative and positive development by means of jet turbulation, and the application of the method to all negative and print processing of the entire product of a major producing company."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To WILLIAM A. MUELLER of Warner Bros.-First National Studio Sound Department for his method of dubbing, in which the level of the dialogue automatically controls the level of the accompanying music and sound effects."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To MOLE-RICHARDSON COMPANY for their development of the ""Solar-spot"" spot lamps."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To DOUGLAS SHEARER and METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for their automatic control system for cameras and sound recording machines and auxiliary stage equipment.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their study and development of equipment to analyze and measure flutter resulting from the travel of the film through the mechanisms used in the recording and reproduction of sound."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To PARAMOUNT PRODUCTIONS, INC. for the design and construction of the Paramount transparency air turbine developing machine."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To NATHAN LEVINSON, Director of Sound Recording for Warner Bros.-First National Studio, for the method of intercutting variable density and variable area sound tracks to secure an increase in the effective volume range of sound recorded for motion pictures."
1936,ACTOR,FALSE,Gary Cooper
1936,ACTOR,FALSE,Walter Huston
1936,ACTOR,TRUE,Paul Muni
